fullName,htmlUrl,stargazersCount,topics,watchers,topicCount,kind
JetBrains/swot,https://github.com/JetBrains/swot,1072,[],1072,0,Other
JetBrains/intellij-sdk-docs,https://github.com/JetBrains/intellij-sdk-docs,990,"[docs, intellij, intellij-platform, intellij-plugin, intellijidea-plugin, jetbrains, sdk]",990,7,IntelliJ
JetBrains/markdown,https://github.com/JetBrains/markdown,285,[],285,0,Other
JetBrains/Arend,https://github.com/JetBrains/Arend,562,[arend],562,1,Other
JetBrains/phpstorm-stubs,https://github.com/JetBrains/phpstorm-stubs,1110,[],1110,0,Other
JetBrains/gradle-intellij-plugin,https://github.com/JetBrains/gradle-intellij-plugin,1058,"[gradle, gradle-intellij-plugin, gradle-kotlin-dsl, groovy, intellij, intellij-ides, intellij-platform, intellij-plugin, intellij-sdk, jetbrains-plugin, kotlin, plugin-verifier, publishing-dsl, setup-dsl, teamcity, travis-configuration]",1058,16,Kotlin
JetBrains/svg-sprite-loader,https://github.com/JetBrains/svg-sprite-loader,1815,"[sprite, svg, svg-sprite, svg-stack, webpack, webpack-loader, webpack-plugin, webpack2, webpack3]",1815,9,Other
JetBrains/resharper-unity,https://github.com/JetBrains/resharper-unity,1017,"[hacktoberfest, jetbrains, plugin, resharper, resharper-plugin, rider, unity, unity-editor]",1017,8,Other
JetBrains/jdk8u_jdk,https://github.com/JetBrains/jdk8u_jdk,176,[],176,0,Other
JetBrains/kotlin-native,https://github.com/JetBrains/kotlin-native,7101,"[c, compiler, kotlin, llvm, objective-c]",7101,5,Kotlin
JetBrains/android,https://github.com/JetBrains/android,724,[],724,0,Other
JetBrains/Unity3dRider,https://github.com/JetBrains/Unity3dRider,358,[],358,0,Other
JetBrains/youtrack-mobile,https://github.com/JetBrains/youtrack-mobile,210,"[android, ios, react, react-native, youtrack]",210,5,Other
JetBrains/resharper-fsharp,https://github.com/JetBrains/resharper-fsharp,245,"[fsharp, hacktoberfest, jetbrains, plugin, resharper, rider]",245,6,Other
JetBrains/svg-mixer,https://github.com/JetBrains/svg-mixer,151,[],151,0,Other
JetBrains/kotlin-wrappers,https://github.com/JetBrains/kotlin-wrappers,919,"[css, kotlin, kotlin-js, react, react-router-dom, redux, styled-components]",919,7,Kotlin
JetBrains/create-react-kotlin-app,https://github.com/JetBrains/create-react-kotlin-app,2424,"[create-react-app, jetbrains-ui, kotlin, react, webpack]",2424,5,Kotlin
JetBrains/ideolog,https://github.com/JetBrains/ideolog,186,[],186,0,Other
JetBrains/kotlin-playground,https://github.com/JetBrains/kotlin-playground,251,"[kotlin, kotlin-playground, playground]",251,3,Kotlin
JetBrains/ring-ui,https://github.com/JetBrains/ring-ui,2836,"[components, jetbrains-ui, react]",2836,3,Other
JetBrains/inspection-plugin,https://github.com/JetBrains/inspection-plugin,252,[],252,0,Other
JetBrains/gradle-idea-ext-plugin,https://github.com/JetBrains/gradle-idea-ext-plugin,155,[],155,0,IntelliJ
JetBrains/awesome-pycharm,https://github.com/JetBrains/awesome-pycharm,186,"[awesome, ide, pycharm, python, web-development]",186,5,Other
JetBrains/rd,https://github.com/JetBrains/rd,279,[hacktoberfest],279,1,Other
JetBrains/kotlinconf-app,https://github.com/JetBrains/kotlinconf-app,2628,[],2628,0,Kotlin
JetBrains/java-annotations,https://github.com/JetBrains/java-annotations,226,[],226,0,Other
JetBrains/JetBrainsRuntime,https://github.com/JetBrains/JetBrainsRuntime,370,"[intellij-platform, jdk, openjdk]",370,3,Other
JetBrains/lets-plot-kotlin,https://github.com/JetBrains/lets-plot-kotlin,228,"[data-science, geotools, ggplot, graphics, jupyter, jupyter-notebook, jupyter-notebooks, jvm, kotlin, kotlin-api, kotlin-js, kotlin-kernel, plot, plot-kotlin, plot-library, statistical-data]",228,16,Kotlin
JetBrains/JetBrainsMono,https://github.com/JetBrains/JetBrainsMono,6059,"[coding-font, font, ligatures, monospaced-font, programming-font, programming-ligatures]",6059,6,Other
JetBrains/lets-plot,https://github.com/JetBrains/lets-plot,699,"[data-science, data-visualization, datalore, geo-spatial, ggplot, jupyter, jupyter-notebooks, kotlin, plot, plot-library, pycharm, python, sciview, sciview-plugin, statistical-data]",699,15,Kotlin
JetBrains/kotless,https://github.com/JetBrains/kotless,886,"[devops, faas, gradle-plugin, kotlin, lambda, serverless, web]",886,7,Kotlin
JetBrains/web-types,https://github.com/JetBrains/web-types,169,[],169,0,Other
JetBrains/intellij-platform-plugin-template,https://github.com/JetBrains/intellij-platform-plugin-template,1133,"[intellij, intellij-idea, intellij-idea-plugin, intellij-platform, intellij-plugin, intellij-plugins, jetbrains-plugin]",1133,7,IntelliJ
JetBrains/KotlinDL,https://github.com/JetBrains/KotlinDL,695,"[deeplearning, gpu, kotlin, tensorflow]",695,4,Kotlin
JetBrains/intellij-sdk-code-samples,https://github.com/JetBrains/intellij-sdk-code-samples,412,"[intellij, intellij-idea, intellij-platform, intellij-plugin, intellij-plugins, intellij-sdk, jetbrains, jetbrains-plugin, jetbrains-plugins]",412,9,IntelliJ
JetBrains/skija,https://github.com/JetBrains/skija,2242,"[2d, graphics, java, skia]",2242,4,Other
JetBrains/projector-docker,https://github.com/JetBrains/projector-docker,1853,"[awt, docker, swing]",1853,3,Other
JetBrains/projector-server,https://github.com/JetBrains/projector-server,1025,"[awt, swing]",1025,2,Other
JetBrains/projector-client,https://github.com/JetBrains/projector-client,701,"[awt, swing]",701,2,Other
JetBrains/kotlin-spark-api,https://github.com/JetBrains/kotlin-spark-api,257,"[bigdata, kotlin, nullability, scala, spark]",257,5,Kotlin
JetBrains/php-timeline,https://github.com/JetBrains/php-timeline,207,[],207,0,Other
JetBrains/projector-installer,https://github.com/JetBrains/projector-installer,655,"[awt, swing]",655,2,Other
JetBrains/skiko,https://github.com/JetBrains/skiko,519,[],519,0,Other
JetBrains/compose-jb,https://github.com/JetBrains/compose-jb,6805,"[android, awt, compose, declarative-ui, desktop, gui, javascript, kotlin, multiplatform, reactive, swing, ui]",6805,12,Kotlin
JetBrains/compose-for-web-demos,https://github.com/JetBrains/compose-for-web-demos,175,[],175,0,Other
JetBrains/phpstorm-attributes,https://github.com/JetBrains/phpstorm-attributes,220,"[php8, phpstorm]",220,2,Other
JetBrains/Qodana,https://github.com/JetBrains/Qodana,335,"[ci-cd, code-inspection, qodana]",335,3,Other
