
columns,data,id
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",18
emitent_inn,7712040126,18
emitent_okpo,29063984,18
gosreg,,18
type,option,18
group,futures_options,18
primary_boardid,ROPD,18
marketprice_boardid,,18
id,412476055,19
secid,AF4750BF1,19
shortname,AFLT-6.21M160621CA4750,19
regnumber,,19
name,Марж. амер. Call 4750 с исп. 16 июня на фьюч. контр. AFLT-6.21,19
isin,,19
is_traded,1,19
emitent_id,1300,19
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",19
emitent_inn,7712040126,19
emitent_okpo,29063984,19
gosreg,,19
type,option,19
group,futures_options,19
primary_boardid,ROPD,19
marketprice_boardid,,19
id,412040593,20
secid,AF4750BO1,20
shortname,AFLT-3.21M170321PA4750,20
regnumber,,20
name,Марж. амер. Put 4750 с исп. 17 марта на фьюч. контр. AFLT-3.21,20
isin,,20
is_traded,1,20
emitent_id,1300,20
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",20
emitent_inn,7712040126,20
emitent_okpo,29063984,20
gosreg,,20
type,option,20
group,futures_options,20
primary_boardid,ROPD,20
marketprice_boardid,,20
id,412709357,21
secid,AF4750BP1,21
shortname,AFLT-6.21M140421PA4750,21
regnumber,,21
name,Марж. амер. Put 4750 с исп. 14 апр. на фьюч. контр. AFLT-6.21,21
isin,,21
is_traded,1,21
emitent_id,1300,21
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",21
emitent_inn,7712040126,21
emitent_okpo,29063984,21
gosreg,,21
type,option,21
group,futures_options,21
primary_boardid,ROPD,21
marketprice_boardid,,21
id,412884113,22
secid,AF4750BQ1,22
shortname,AFLT-6.21M190521PA4750,22
regnumber,,22
name,Марж. амер. Put 4750 с исп. 19 мая на фьюч. контр. AFLT-6.21,22
isin,,22
is_traded,1,22
emitent_id,1300,22
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",22
emitent_inn,7712040126,22
emitent_okpo,29063984,22
gosreg,,22
type,option,22
group,futures_options,22
primary_boardid,ROPD,22
marketprice_boardid,,22
id,412476057,23
secid,AF4750BR1,23
shortname,AFLT-6.21M160621PA4750,23
regnumber,,23
name,Марж. амер. Put 4750 с исп. 16 июня на фьюч. контр. AFLT-6.21,23
isin,,23
is_traded,1,23
emitent_id,1300,23
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",23
emitent_inn,7712040126,23
emitent_okpo,29063984,23
gosreg,,23
type,option,23
group,futures_options,23
primary_boardid,ROPD,23
marketprice_boardid,,23
id,412000095,24
secid,AF5000BC1,24
shortname,AFLT-3.21M170321CA5000,24
regnumber,,24
name,Марж. амер. Call 5000 с исп. 17 марта на фьюч. контр. AFLT-3.21,24
isin,,24
is_traded,1,24
emitent_id,1300,24
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",24
emitent_inn,7712040126,24
emitent_okpo,29063984,24
gosreg,,24
type,option,24
group,futures_options,24
primary_boardid,ROPD,24
marketprice_boardid,,24
id,412689461,25
secid,AF5000BD1,25
shortname,AFLT-6.21M140421CA5000,25
regnumber,,25
name,Марж. амер. Call 5000 с исп. 14 апр. на фьюч. контр. AFLT-6.21,25
isin,,25
is_traded,1,25
emitent_id,1300,25
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",25
emitent_inn,7712040126,25
emitent_okpo,29063984,25
gosreg,,25
type,option,25
group,futures_options,25
primary_boardid,ROPD,25
marketprice_boardid,,25
id,412884115,26
secid,AF5000BE1,26
shortname,AFLT-6.21M190521CA5000,26
regnumber,,26
name,Марж. амер. Call 5000 с исп. 19 мая на фьюч. контр. AFLT-6.21,26
isin,,26
is_traded,1,26
emitent_id,1300,26
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",26
emitent_inn,7712040126,26
emitent_okpo,29063984,26
gosreg,,26
type,option,26
group,futures_options,26
primary_boardid,ROPD,26
marketprice_boardid,,26
id,412462825,27
secid,AF5000BF1,27
shortname,AFLT-6.21M160621CA5000,27
regnumber,,27
name,Марж. амер. Call 5000 с исп. 16 июня на фьюч. контр. AFLT-6.21,27
isin,,27
is_traded,1,27
emitent_id,1300,27
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",27
emitent_inn,7712040126,27
emitent_okpo,29063984,27
gosreg,,27
type,option,27
group,futures_options,27
primary_boardid,ROPD,27
marketprice_boardid,,27
id,412000103,28
secid,AF5000BO1,28
shortname,AFLT-3.21M170321PA5000,28
regnumber,,28
name,Марж. амер. Put 5000 с исп. 17 марта на фьюч. контр. AFLT-3.21,28
isin,,28
is_traded,1,28
emitent_id,1300,28
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",28
emitent_inn,7712040126,28
emitent_okpo,29063984,28
gosreg,,28
type,option,28
group,futures_options,28
primary_boardid,ROPD,28
marketprice_boardid,,28
id,412689463,29
secid,AF5000BP1,29
shortname,AFLT-6.21M140421PA5000,29
regnumber,,29
name,Марж. амер. Put 5000 с исп. 14 апр. на фьюч. контр. AFLT-6.21,29
isin,,29
is_traded,1,29
emitent_id,1300,29
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",29
emitent_inn,7712040126,29
emitent_okpo,29063984,29
gosreg,,29
type,option,29
group,futures_options,29
primary_boardid,ROPD,29
marketprice_boardid,,29
id,412884117,30
secid,AF5000BQ1,30
shortname,AFLT-6.21M190521PA5000,30
regnumber,,30
name,Марж. амер. Put 5000 с исп. 19 мая на фьюч. контр. AFLT-6.21,30
isin,,30
is_traded,1,30
emitent_id,1300,30
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",30
emitent_inn,7712040126,30
emitent_okpo,29063984,30
gosreg,,30
type,option,30
group,futures_options,30
primary_boardid,ROPD,30
marketprice_boardid,,30
id,412462827,31
secid,AF5000BR1,31
shortname,AFLT-6.21M160621PA5000,31
regnumber,,31
name,Марж. амер. Put 5000 с исп. 16 июня на фьюч. контр. AFLT-6.21,31
isin,,31
is_traded,1,31
emitent_id,1300,31
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",31
emitent_inn,7712040126,31
emitent_okpo,29063984,31
gosreg,,31
type,option,31
group,futures_options,31
primary_boardid,ROPD,31
marketprice_boardid,,31
id,411976961,32
secid,AF5250BC1,32
shortname,AFLT-3.21M170321CA5250,32
regnumber,,32
name,Марж. амер. Call 5250 с исп. 17 марта на фьюч. контр. AFLT-3.21,32
isin,,32
is_traded,1,32
emitent_id,1300,32
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",32
emitent_inn,7712040126,32
emitent_okpo,29063984,32
gosreg,,32
type,option,32
group,futures_options,32
primary_boardid,ROPD,32
marketprice_boardid,,32
id,412689465,33
secid,AF5250BD1,33
shortname,AFLT-6.21M140421CA5250,33
regnumber,,33
name,Марж. амер. Call 5250 с исп. 14 апр. на фьюч. контр. AFLT-6.21,33
isin,,33
is_traded,1,33
emitent_id,1300,33
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",33
emitent_inn,7712040126,33
emitent_okpo,29063984,33
gosreg,,33
type,option,33
group,futures_options,33
primary_boardid,ROPD,33
marketprice_boardid,,33
id,412884119,34
secid,AF5250BE1,34
shortname,AFLT-6.21M190521CA5250,34
regnumber,,34
name,Марж. амер. Call 5250 с исп. 19 мая на фьюч. контр. AFLT-6.21,34
isin,,34
is_traded,1,34
emitent_id,1300,34
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",34
emitent_inn,7712040126,34
emitent_okpo,29063984,34
gosreg,,34
type,option,34
group,futures_options,34
primary_boardid,ROPD,34
marketprice_boardid,,34
id,412462829,35
secid,AF5250BF1,35
shortname,AFLT-6.21M160621CA5250,35
regnumber,,35
name,Марж. амер. Call 5250 с исп. 16 июня на фьюч. контр. AFLT-6.21,35
isin,,35
is_traded,1,35
emitent_id,1300,35
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",35
emitent_inn,7712040126,35
emitent_okpo,29063984,35
gosreg,,35
type,option,35
group,futures_options,35
primary_boardid,ROPD,35
marketprice_boardid,,35
id,411976969,36
secid,AF5250BO1,36
shortname,AFLT-3.21M170321PA5250,36
regnumber,,36
name,Марж. амер. Put 5250 с исп. 17 марта на фьюч. контр. AFLT-3.21,36
isin,,36
is_traded,1,36
emitent_id,1300,36
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",36
emitent_inn,7712040126,36
emitent_okpo,29063984,36
gosreg,,36
type,option,36
group,futures_options,36
primary_boardid,ROPD,36
marketprice_boardid,,36
id,412689467,37
secid,AF5250BP1,37
shortname,AFLT-6.21M140421PA5250,37
regnumber,,37
name,Марж. амер. Put 5250 с исп. 14 апр. на фьюч. контр. AFLT-6.21,37
isin,,37
is_traded,1,37
emitent_id,1300,37
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",37
emitent_inn,7712040126,37
emitent_okpo,29063984,37
gosreg,,37
type,option,37
group,futures_options,37
primary_boardid,ROPD,37
marketprice_boardid,,37
id,412884121,38
secid,AF5250BQ1,38
shortname,AFLT-6.21M190521PA5250,38
regnumber,,38
name,Марж. амер. Put 5250 с исп. 19 мая на фьюч. контр. AFLT-6.21,38
isin,,38
is_traded,1,38
emitent_id,1300,38
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",38
emitent_inn,7712040126,38
emitent_okpo,29063984,38
gosreg,,38
type,option,38
group,futures_options,38
primary_boardid,ROPD,38
marketprice_boardid,,38
id,412462831,39
secid,AF5250BR1,39
shortname,AFLT-6.21M160621PA5250,39
regnumber,,39
name,Марж. амер. Put 5250 с исп. 16 июня на фьюч. контр. AFLT-6.21,39
isin,,39
is_traded,1,39
emitent_id,1300,39
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",39
emitent_inn,7712040126,39
emitent_okpo,29063984,39
gosreg,,39
type,option,39
group,futures_options,39
primary_boardid,ROPD,39
marketprice_boardid,,39
id,411976977,40
secid,AF5500BC1,40
shortname,AFLT-3.21M170321CA5500,40
regnumber,,40
name,Марж. амер. Call 5500 с исп. 17 марта на фьюч. контр. AFLT-3.21,40
isin,,40
is_traded,1,40
emitent_id,1300,40
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",40
emitent_inn,7712040126,40
emitent_okpo,29063984,40
gosreg,,40
type,option,40
group,futures_options,40
primary_boardid,ROPD,40
marketprice_boardid,,40
id,412689469,41
secid,AF5500BD1,41
shortname,AFLT-6.21M140421CA5500,41
regnumber,,41
name,Марж. амер. Call 5500 с исп. 14 апр. на фьюч. контр. AFLT-6.21,41
isin,,41
is_traded,1,41
emitent_id,1300,41
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",41
emitent_inn,7712040126,41
emitent_okpo,29063984,41
gosreg,,41
type,option,41
group,futures_options,41
primary_boardid,ROPD,41
marketprice_boardid,,41
id,412884123,42
secid,AF5500BE1,42
shortname,AFLT-6.21M190521CA5500,42
regnumber,,42
name,Марж. амер. Call 5500 с исп. 19 мая на фьюч. контр. AFLT-6.21,42
isin,,42
is_traded,1,42
emitent_id,1300,42
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",42
emitent_inn,7712040126,42
emitent_okpo,29063984,42
gosreg,,42
type,option,42
group,futures_options,42
primary_boardid,ROPD,42
marketprice_boardid,,42
id,412462833,43
secid,AF5500BF1,43
shortname,AFLT-6.21M160621CA5500,43
regnumber,,43
name,Марж. амер. Call 5500 с исп. 16 июня на фьюч. контр. AFLT-6.21,43
isin,,43
is_traded,1,43
emitent_id,1300,43
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",43
emitent_inn,7712040126,43
emitent_okpo,29063984,43
gosreg,,43
type,option,43
group,futures_options,43
primary_boardid,ROPD,43
marketprice_boardid,,43
id,411976979,44
secid,AF5500BO1,44
shortname,AFLT-3.21M170321PA5500,44
regnumber,,44
name,Марж. амер. Put 5500 с исп. 17 марта на фьюч. контр. AFLT-3.21,44
isin,,44
is_traded,1,44
emitent_id,1300,44
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",44
emitent_inn,7712040126,44
emitent_okpo,29063984,44
gosreg,,44
type,option,44
group,futures_options,44
primary_boardid,ROPD,44
marketprice_boardid,,44
id,412689471,45
secid,AF5500BP1,45
shortname,AFLT-6.21M140421PA5500,45
regnumber,,45
name,Марж. амер. Put 5500 с исп. 14 апр. на фьюч. контр. AFLT-6.21,45
isin,,45
is_traded,1,45
emitent_id,1300,45
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",45
emitent_inn,7712040126,45
emitent_okpo,29063984,45
gosreg,,45
type,option,45
group,futures_options,45
primary_boardid,ROPD,45
marketprice_boardid,,45
id,412884125,46
secid,AF5500BQ1,46
shortname,AFLT-6.21M190521PA5500,46
regnumber,,46
name,Марж. амер. Put 5500 с исп. 19 мая на фьюч. контр. AFLT-6.21,46
isin,,46
is_traded,1,46
emitent_id,1300,46
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",46
emitent_inn,7712040126,46
emitent_okpo,29063984,46
gosreg,,46
type,option,46
group,futures_options,46
primary_boardid,ROPD,46
marketprice_boardid,,46
id,412462835,47
secid,AF5500BR1,47
shortname,AFLT-6.21M160621PA5500,47
regnumber,,47
name,Марж. амер. Put 5500 с исп. 16 июня на фьюч. контр. AFLT-6.21,47
isin,,47
is_traded,1,47
emitent_id,1300,47
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",47
emitent_inn,7712040126,47
emitent_okpo,29063984,47
gosreg,,47
type,option,47
group,futures_options,47
primary_boardid,ROPD,47
marketprice_boardid,,47
id,411893003,48
secid,AF5750BC1,48
shortname,AFLT-3.21M170321CA5750,48
regnumber,,48
name,Марж. амер. Call 5750 с исп. 17 марта на фьюч. контр. AFLT-3.21,48
isin,,48
is_traded,1,48
emitent_id,1300,48
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",48
emitent_inn,7712040126,48
emitent_okpo,29063984,48
gosreg,,48
type,option,48
group,futures_options,48
primary_boardid,ROPD,48
marketprice_boardid,,48
id,412689473,49
secid,AF5750BD1,49
shortname,AFLT-6.21M140421CA5750,49
regnumber,,49
name,Марж. амер. Call 5750 с исп. 14 апр. на фьюч. контр. AFLT-6.21,49
isin,,49
is_traded,1,49
emitent_id,1300,49
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",49
emitent_inn,7712040126,49
emitent_okpo,29063984,49
gosreg,,49
type,option,49
group,futures_options,49
primary_boardid,ROPD,49
marketprice_boardid,,49
id,412884127,50
secid,AF5750BE1,50
shortname,AFLT-6.21M190521CA5750,50
regnumber,,50
name,Марж. амер. Call 5750 с исп. 19 мая на фьюч. контр. AFLT-6.21,50
isin,,50
is_traded,1,50
emitent_id,1300,50
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",50
emitent_inn,7712040126,50
emitent_okpo,29063984,50
gosreg,,50
type,option,50
group,futures_options,50
primary_boardid,ROPD,50
marketprice_boardid,,50
id,412462837,51
secid,AF5750BF1,51
shortname,AFLT-6.21M160621CA5750,51
regnumber,,51
name,Марж. амер. Call 5750 с исп. 16 июня на фьюч. контр. AFLT-6.21,51
isin,,51
is_traded,1,51
emitent_id,1300,51
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",51
emitent_inn,7712040126,51
emitent_okpo,29063984,51
gosreg,,51
type,option,51
group,futures_options,51
primary_boardid,ROPD,51
marketprice_boardid,,51
id,411893005,52
secid,AF5750BO1,52
shortname,AFLT-3.21M170321PA5750,52
regnumber,,52
name,Марж. амер. Put 5750 с исп. 17 марта на фьюч. контр. AFLT-3.21,52
isin,,52
is_traded,1,52
emitent_id,1300,52
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",52
emitent_inn,7712040126,52
emitent_okpo,29063984,52
gosreg,,52
type,option,52
group,futures_options,52
primary_boardid,ROPD,52
marketprice_boardid,,52
id,412689475,53
secid,AF5750BP1,53
shortname,AFLT-6.21M140421PA5750,53
regnumber,,53
name,Марж. амер. Put 5750 с исп. 14 апр. на фьюч. контр. AFLT-6.21,53
isin,,53
is_traded,1,53
emitent_id,1300,53
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",53
emitent_inn,7712040126,53
emitent_okpo,29063984,53
gosreg,,53
type,option,53
group,futures_options,53
primary_boardid,ROPD,53
marketprice_boardid,,53
id,412884129,54
secid,AF5750BQ1,54
shortname,AFLT-6.21M190521PA5750,54
regnumber,,54
name,Марж. амер. Put 5750 с исп. 19 мая на фьюч. контр. AFLT-6.21,54
isin,,54
is_traded,1,54
emitent_id,1300,54
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",54
emitent_inn,7712040126,54
emitent_okpo,29063984,54
gosreg,,54
type,option,54
group,futures_options,54
primary_boardid,ROPD,54
marketprice_boardid,,54
id,412462839,55
secid,AF5750BR1,55
shortname,AFLT-6.21M160621PA5750,55
regnumber,,55
name,Марж. амер. Put 5750 с исп. 16 июня на фьюч. контр. AFLT-6.21,55
isin,,55
is_traded,1,55
emitent_id,1300,55
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",55
emitent_inn,7712040126,55
emitent_okpo,29063984,55
gosreg,,55
type,option,55
group,futures_options,55
primary_boardid,ROPD,55
marketprice_boardid,,55
id,411893007,56
secid,AF6000BC1,56
shortname,AFLT-3.21M170321CA6000,56
regnumber,,56
name,Марж. амер. Call 6000 с исп. 17 марта на фьюч. контр. AFLT-3.21,56
isin,,56
is_traded,1,56
emitent_id,1300,56
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",56
emitent_inn,7712040126,56
emitent_okpo,29063984,56
gosreg,,56
type,option,56
group,futures_options,56
primary_boardid,ROPD,56
marketprice_boardid,,56
id,412689477,57
secid,AF6000BD1,57
shortname,AFLT-6.21M140421CA6000,57
regnumber,,57
name,Марж. амер. Call 6000 с исп. 14 апр. на фьюч. контр. AFLT-6.21,57
isin,,57
is_traded,1,57
emitent_id,1300,57
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",57
emitent_inn,7712040126,57
emitent_okpo,29063984,57
gosreg,,57
type,option,57
group,futures_options,57
primary_boardid,ROPD,57
marketprice_boardid,,57
id,412884131,58
secid,AF6000BE1,58
shortname,AFLT-6.21M190521CA6000,58
regnumber,,58
name,Марж. амер. Call 6000 с исп. 19 мая на фьюч. контр. AFLT-6.21,58
isin,,58
is_traded,1,58
emitent_id,1300,58
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",58
emitent_inn,7712040126,58
emitent_okpo,29063984,58
gosreg,,58
type,option,58
group,futures_options,58
primary_boardid,ROPD,58
marketprice_boardid,,58
id,412462841,59
secid,AF6000BF1,59
shortname,AFLT-6.21M160621CA6000,59
regnumber,,59
name,Марж. амер. Call 6000 с исп. 16 июня на фьюч. контр. AFLT-6.21,59
isin,,59
is_traded,1,59
emitent_id,1300,59
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",59
emitent_inn,7712040126,59
emitent_okpo,29063984,59
gosreg,,59
type,option,59
group,futures_options,59
primary_boardid,ROPD,59
marketprice_boardid,,59
id,411893009,60
secid,AF6000BO1,60
shortname,AFLT-3.21M170321PA6000,60
