Company,Period,Revenue,Net Income,Liabilities,Assets,Equity,ROA (%),ROE (%),Debt to Equity,percentage  Debt to Equity
Siemens AG,12/31/2018,9738110535,1128540207,47796930083,86681431720,38884501637,1.301.939.971,2.902.287.954,1.229.202.589,"236,11%"
Allianz SE,12/31/2018,11358222175,1091045445,25112465464,47584136480,22471671016,229.287.642,4.855.203.888,1.117.516.603,"434,46%"
BMW AG,12/31/2018,6557505339,618883604.9,33315961378,60538144207,27222182829,1.022.303.562,2.273.453.267,1.223.853.414,"0,00%"
BASF SE,12/31/2018,10270182691,708863277.1,42708053991,57050114588,14342060597,124.252.735,4.942.548.334,2.977.818.543,"0,00%"
Deutsche Telekom AG,12/31/2018,15273880507,1698666925,35514608139,56589637247,21075029108,3.001.727.892,8.060.092.903,1.685.151.084,"478,30%"
Daimler AG,12/31/2018,14737735881,1726421482,41539802392,60496305967,18956503575,2.853.763.473,9.107.278.014,2.191.321.951,"415,61%"
SAP SE,12/31/2018,10184334320,1365996842,44932510908,90595603440,45663092533,1.507.795.953,299.146.809,98.400.061,"304,01%"
Bayer AG,12/31/2018,18541451915,2242441772,28896911499,58238408654,29341497155,3.850.451.659,7.642.560.842,984.847.888,"776,01%"
Deutsche Bank AG,12/31/2018,8808021584,1274941171,36770248755,55390246152,18619997397,2.301.743.104,6.847.160.844,197.477.196,"346,73%"
Porsche AG,12/31/2018,7955302121,939711762.4,35954156213,65117507958,29163351745,1.443.101.543,3.222.235.121,1.232.854.047,"0,00%"
Merck KGaA,12/31/2018,14241334382,1165009578,37401670447,71252783664,33851113217,1.635.037.283,3.441.569.472,1.104.887.458,"311,49%"
Volkswagen AG,12/31/2019,15448794996,1760261975,43856467673,93429721556,49573253883,1.884.049.257,3.550.830.008,884.680.029,"401,37%"
Siemens AG,12/31/2019,12841952642,1411970100,29126693633,55130546327,26003852694,2.561.139.322,5.429.849.634,1.120.091.472,"484,77%"
Allianz SE,12/31/2019,15508664175,1417702229,18132341778,46620472331,28488130553,3.040.943.514,4.976.466.345,636.487.598,"781,86%"
BMW AG,12/31/2019,8859340166,1144565565,40538252302,78168514026,37630261724,1.464.228.377,3.041.609.365,1.077.277.979,"282,34%"
BASF SE,12/31/2019,17877114298,1224635136,31860731568,65500282723,33639551155,1.869.663.892,3.640.462.175,947.121.185,"384,37%"
Deutsche Telekom AG,12/31/2019,15796654133,805016265.8,11494162751,47776069193,36281906442,1.684.978.022,2.218.781.604,31.680.151,"0,00%"
Daimler AG,12/31/2019,10937481164,1145842379,19578678306,31178454239,11599775933,3.675.109.647,9.878.142.355,1.687.849.698,"585,25%"
SAP SE,12/31/2019,8046709255,662165230.7,39424977655,89177961232,49752983577,742.521.158,1.330.905.572,79.241.434,"0,00%"
Bayer AG,12/31/2019,17402979577,1387637302,31887265220,61548783018,29661517798,2.254.532.476,467.824.105,1.075.038.217,"435,17%"
Deutsche Bank AG,12/31/2019,9814156310,576451352.5,25131659304,46301105258,21169445954,1.245.005.598,2.723.034.669,1.187.166.606,"0,00%"
Porsche AG,12/31/2019,15806884536,845076735.9,34376508276,55201546863,20825038587,1.530.893.216,405.798.401,1.650.729.632,"0,00%"
Merck KGaA,12/31/2019,17666094987,1547381835,47717175754,76466035769,28748860015,2.023.619.793,5.382.411.109,1.659.793.666,"324,28%"
Volkswagen AG,12/31/2020,6074909806,875656602.5,42262965768,80569106208,38306140440,1.086.839.167,2.285.943.174,1.103.294.806,"0,00%"
Siemens AG,12/31/2020,17731550761,1893885668,10137976567,39067986912,28930010345,4.847.666.382,6.546.439.648,350.431.142,"1868,11%"
Allianz SE,12/31/2020,10098889889,1161225924,39497490703,77791788915,38294298213,1.492.735.853,3.032.372.908,1.031.419.625,"294,00%"
BMW AG,12/31/2020,6940311223,962499322.1,29150494667,41331347093,12180852427,2.328.739.298,7.901.740.276,2.393.140.779,"0,00%"
BASF SE,12/31/2020,11583572658,1407524593,37122614462,82673694404,45551079942,1.702.505.982,3.089.991.707,814.966.725,"379,16%"
Deutsche Telekom AG,12/31/2020,19614896783,1231038198,45625478678,94598230353,48972751675,1.301.333.221,2.513.720.704,931.650.298,"269,81%"
Daimler AG,12/31/2020,8582626126,482111535,40109942612,86478204177,46368261566,55.749.485,1.039.744.685,865.030.115,"120,20%"
SAP SE,12/31/2020,9687560178,1027662516,40817136100,65594337613,24777201513,1.566.693.946,4.147.613.343,1.647.366.676,"251,77%"
Bayer AG,12/31/2020,14954913916,1086100755,49223539015,87910824435,38687285420,1.235.457.365,2.807.384.243,1.272.344.091,"220,65%"
Deutsche Bank AG,12/31/2020,16454038855,1761523797,29090502114,64555499757,35464997643,2.728.696.708,4.966.936.173,820.259.525,"605,53%"
Porsche AG,12/31/2020,14994514428,1118453310,13089516203,26894911034,13805394830,4.158.605.723,8.101.566.983,948.145.009,"854,46%"
Merck KGaA,12/31/2020,5897253747,625948791.2,38506883950,51548729961,13041846011,1.214.285.573,4.799.541.343,2.952.563.918,"0,00%"
Volkswagen AG,12/31/2021,11544833810,1709962819,14660160673,40260511363,25600350690,4.247.245.654,6.679.450.762,572.654.682,"1166,40%"
Siemens AG,12/31/2021,15389996263,923394181.6,21808491986,40095375980,18286883994,2.302.994.196,5.049.488.923,1.192.575.618,"0,00%"
Allianz SE,12/31/2021,9380555380,1350100953,41223028779,68933524997,27710496218,195.855.493,4.872.164.475,1.487.632.284,"327,51%"
BMW AG,12/31/2021,18321682480,1436804767,33230894855,73659285546,40428390691,1.950.609.154,355.394.994,821.969.272,"432,37%"
BASF SE,12/31/2021,18793891125,2702710428,12423193661,54396450621,41973256961,4.968.541.876,6.439.124.871,295.978.787,"2175,54%"
Deutsche Telekom AG,12/31/2021,18588737724,2116759905,15557689149,64787149652,49229460503,3.267.252.713,429.978.286,316.023.962,"1360,59%"
Daimler AG,12/31/2021,19604996789,2406144332,39627936994,77954949919,38327012925,3.086.583.128,6.277.933.363,1.033.942.746,"607,18%"
SAP SE,12/31/2021,12465229611,800983300.4,28257880783,51866957482,23609076699,1.544.303.617,3.392.692.186,1.196.907.492,"0,00%"
Bayer AG,12/31/2021,13009192330,1451167596,31049801948,49482603845,18432801897,2.932.682.364,7.872.745.579,1.684.486.283,"467,37%"
Deutsche Bank AG,12/31/2021,10414516344,1120888368,33962234582,80244374780,46282140198,1.396.843.544,2.421.859.412,733.808.645,"330,04%"
Porsche AG,12/31/2021,14047287806,1489899027,14851641486,42561319258,27709677772,3.500.594.092,5.376.818.307,535.973.085,"1003,19%"
Merck KGaA,12/31/2021,12917187369,1708731611,17319486583,43037893850,25718407267,3.970.295.613,664.400.246,673.427.651,"986,59%"
Volkswagen AG,12/31/2022,11168902003,587168043.4,20072750684,67464272122,47391521437,870.339.255,1.238.972.765,423.551.515,"0,00%"
Siemens AG,12/31/2022,16861000234,918419211.5,32873432607,81487723152,48614290545,1.127.064.515,1.889.195.957,676.209.243,"0,00%"
Allianz SE,12/31/2022,16472180169,2043609431,34718393733,62464433746,27746040013,3.271.636.847,736.540.937,125.129.185,"588,62%"
BMW AG,12/31/2022,7382434260,1093800017,35338248318,45898916976,10560668658,2.383.062.802,1.035.729.888,3.346.213.148,"309,52%"
BASF SE,12/31/2022,13018762765,1704211990,11167034881,30031637051,18864602170,567.472.225,9.033.914.282,591.957.083,"1526,11%"
Deutsche Telekom AG,12/31/2022,9420241101,990420474.4,12931047199,34081834188,21150786988,2.906.006.963,4.682.664.881,611.374.282,"0,00%"
Daimler AG,12/31/2022,9363037363,704852259.1,34778269496,54701473950,19923204453,1.288.543.449,3.537.845.836,1.745.616.253,"0,00%"
SAP SE,12/31/2022,16805465254,1837934274,10102113588,37939001132,27836887544,4.844.445.609,6.602.513.558,362.903.847,"1819,36%"
Bayer AG,12/31/2022,19647577142,1826544478,10046371516,37513857859,27467486343,4.868.985.975,6.649.842.126,365.755.038,"1818,11%"
Deutsche Bank AG,12/31/2022,7252204354,949551701.2,44858188981,86269206025,41411017045,110.068.441,229.299.295,1.083.242.871,"0,00%"
Porsche AG,12/31/2022,5536870879,298030924.1,19445445005,30265348449,10819903444,984.726.558,275.446.935,1.797.192.101,"0,00%"
Merck KGaA,12/31/2022,7610452133,536310750.1,48688712492,88688270941,39999558449,604.714.405,1.340.791.676,1.217.231.249,"0,00%"
Volkswagen AG,12/31/2023,16782030250,1481049554,32384571623,78417189252,46032617629,1.888.679.725,3.217.391.559,70.351.358,"457,33%"
Siemens AG,12/31/2023,8282175431,459390813.5,28551545477,64407150986,35855605509,713.260.572,1.281.224.531,796.292.381,"0,00%"
Allianz SE,12/31/2023,13941085692,1722322782,32850325731,66248470463,33398144732,2.599.792.523,5.156.941.487,983.597.322,"524,29%"
BMW AG,12/31/2023,8469619625,602960048.5,32716601950,78863289364,46146687414,764.563.656,1.306.616.103,708.969.674,"0,00%"
BASF SE,12/31/2023,12852011317,684110085.9,18179739764,53040583203,34860843439,1.289.786.131,1.962.402.565,521.494.547,"0,00%"
Deutsche Telekom AG,12/31/2023,12752580163,884167446.6,28470052842,53978751141,25508698298,1.637.991.669,3.466.140.986,1.116.091.951,"0,00%"
Daimler AG,12/31/2023,5161220914,527374446.2,15838145692,51630867307,35792721615,1.021.432.476,1.473.412.533,442.496.267,"0,00%"
SAP SE,12/31/2023,13414872686,1069408471,35679098743,80239095201,44559996459,1.332.777.331,2.399.929.435,800.697.971,"299,73%"
Bayer AG,12/31/2023,15851738346,905684923,42371799830,52389418748,10017618918,1.728.755.433,9.040.920.106,422.972.766,"213,75%"
Deutsche Bank AG,12/31/2023,12421650351,967097057.5,33786415736,79888234351,46101818615,1.210.562.563,2.097.741.665,73.286.514,"0,00%"
Porsche AG,12/31/2023,16438581863,1419961878,19415830018,36726316966,17310486949,386.633.345,8.202.899.676,1.121.622.406,"731,34%"
Merck KGaA,12/31/2023,17637490503,2103890014,44486109206,61628452463,17142343256,3.413.829.051,1.227.305.965,259.510.083,"472,93%"
Volkswagen AG,12/31/2024,14186610709,2107123762,14632441063,32642980976,18010539913,6.455.059.247,1.169.939.253,812.437.669,"1440,04%"
Siemens AG,12/31/2024,8451674463,530013312.6,43381572844,83248031989,39866459145,636.667.678,1.329.471.751,1.088.172.207,"0,00%"
Allianz SE,12/31/2024,7203400075,631684017.9,23852825717,41830939577,17978113860,1.510.088.046,3.513.627.863,13.267.702,"0,00%"
BMW AG,12/31/2024,6152045684,707968936.5,29243056689,57427208762,28184152074,1.232.810.982,2.511.939.811,1.037.570.923,"0,00%"
BASF SE,12/31/2024,15113132584,1914494156,43259483243,88221659272,44962176029,2.170.095.385,4.258.010.455,962.130.552,"442,56%"
Deutsche Telekom AG,12/31/2024,19139621006,2834016899,18313729720,41643539977,23329810257,6.805.417.841,1.214.762.087,784.992.656,"1547,48%"
Daimler AG,12/31/2024,16456922307,1492220093,48085311015,79618978403,31533667388,1.874.201.507,4.732.148.895,1.524.888.001,"310,33%"
SAP SE,12/31/2024,16754700510,923006607.2,49206362475,96053458782,46847096308,96.093.011,1.970.253.612,105.036.099,"0,00%"
Bayer AG,12/31/2024,5728072323,604515777.3,34398569588,80121015584,45722445996,754.503.388,1.322.142.252,752.334.413,"0,00%"
Deutsche Bank AG,12/31/2024,19852203756,2223753463,36451064643,76222443508,39771378864,2.917.452.342,5.591.341.126,916.514.983,"610,07%"
Porsche AG,12/31/2024,13056746207,1500333956,33698449632,62560115073,28861665442,2.398.227.615,519.836.237,1.167.585.069,"445,22%"
Merck KGaA,12/31/2024,18915504026,2413914962,30820597362,65357495789,34536898427,3.693.401.855,6.989.379.684,892.396.213,"783,21%"
Volkswagen AG,3/31/2017,19695988685,1329397719,24520605687,58120450678,33599844991,2.287.314.883,3.956.559.082,729.783.298,"542,16%"
Siemens AG,3/31/2017,19833452617,1519697640,16063730954,53272532961,37208802008,2.852.685.156,4.084.242.325,431.718.574,"946,04%"
Allianz SE,3/31/2017,9164246774,981041952.6,19407851173,43999960378,24592109205,2.229.642.809,3.989.255.027,789.190.183,"0,00%"
BMW AG,3/31/2017,18765462866,1081539894,34543581067,80126669599,45583088532,1.349.787.655,2.372.677.959,75.781.572,"313,09%"
BASF SE,3/31/2017,16836243798,2100216671,19360624506,64506392372,45145767866,3.255.827.204,4.652.078.745,428.846.942,"1084,79%"
Deutsche Telekom AG,3/31/2017,13951553720,1348710564,21828517855,62780698314,40952180459,2.148.288.567,3.293.379.129,533.024.557,"617,87%"
Daimler AG,3/31/2017,7142318181,980884827.4,33400146455,69867319792,36467173338,1.403.925.083,2.689.774.769,915.896.227,"0,00%"
SAP SE,3/31/2017,6568715630,719090971.2,18570025227,65782612977,47212587750,1.093.132.271,1.523.091.628,393.327.841,"0,00%"
Bayer AG,3/31/2017,13027840283,1127343336,48157761467,85094142147,36936380680,1.324.818.968,3.052.121.825,1.303.802.933,"234,09%"
Deutsche Bank AG,3/31/2017,14843015558,1680873545,14840428879,46770654578,31930225699,3.593.863.632,5.264.208.155,464.776.824,"1132,63%"
Porsche AG,3/31/2017,5883512064,440184439.5,47041623953,76926443805,29884819852,572.214.726,1.472.936.567,1.574.097.625,"0,00%"
Merck KGaA,3/31/2017,6974057939,389688114,31405828053,49969368014,18563539961,779.853.997,2.099.212.299,1.691.801.678,"124,08%"
Volkswagen AG,3/31/2018,15989256775,1291419013,42659096630,53863933584,11204836955,2.397.557.934,1.152.554.935,3.807.203.693,"302,73%"
Siemens AG,3/31/2018,10138254767,1262116952,45296373926,72972094010,27675720085,1.729.588.508,45.603.762,163.668.276,"278,64%"
Allianz SE,3/31/2018,17610247426,2015329868,40259793264,68504291957,28244498693,294.190.307,7.135.300.541,1.425.403.003,"500,58%"
BMW AG,3/31/2018,7335760537,743322627.7,48776154787,95122657900,46346503113,781.435.931,1.603.837.566,1.052.423.624,"0,00%"
BASF SE,3/31/2018,16240083291,1330285061,20620789244,35863861269,15243072025,3.709.263.346,872.714.541,1.352.797.468,"645,12%"
Deutsche Telekom AG,3/31/2018,17427808963,1967928248,36127253691,72733202053,36605948363,2.705.680.752,5.375.979.415,986.923.036,"544,72%"
Daimler AG,3/31/2018,8641226117,983139976.9,36665610699,59016046453,22350435755,1.665.885.867,4.398.750.824,164.048.751,"0,00%"
SAP SE,3/31/2018,19774628627,1421900578,42095348780,63447988091,21352639311,224.104.912,6.659.132.662,1.971.435.389,"337,78%"
Bayer AG,3/31/2018,6560227745,884011217.4,46074070728,59231903754,13157833026,1.492.457.884,6.718.516.763,3.501.645.798,"0,00%"
Deutsche Bank AG,3/31/2018,13740924616,1900766775,46035800087,57764409125,11728609038,3.290.550.018,1.620.624.209,3.925.086.081,"412,89%"
Porsche AG,3/31/2018,17555661518,1335299860,46994742351,88007178782,41012436432,1.517.262.431,3.255.841.341,1.145.865.655,"284,14%"
Merck KGaA,3/31/2018,9318197850,641817429.8,48172882387,65628926423,17456044036,977.949,3.676.763.352,2.759.667.785,"0,00%"
Volkswagen AG,3/31/2019,14907937768,1438598483,20854112480,54405171112,33551058632,2.644.231.152,4.287.788.646,621.563.472,"689,84%"
Siemens AG,3/31/2019,11643264079,1453293868,35825693285,75665486452,39839793167,1.920.682.647,3.647.844.912,899.243.958,"405,66%"
Allianz SE,3/31/2019,11744716344,1284599881,31388781794,60735397643,29346615849,2.115.076.103,4.377.335.663,1.069.587.783,"409,25%"
BMW AG,3/31/2019,15132523755,1022601951,38023980809,86825852703,48801871894,1.177.762.059,2.095.415.424,779.150.048,"268,94%"
BASF SE,3/31/2019,13827496449,1133835190,46117811894,82240340578,36122528684,1.378.684.939,3.138.858.853,127.670.497,"245,86%"
Deutsche Telekom AG,3/31/2019,17933328881,1112803764,47538352610,96220600130,48682247520,1.156.513.016,2.285.851.252,976.502.833,"234,09%"
Daimler AG,3/31/2019,11018589464,1097018126,21597719176,57241727973,35644008796,1.916.465.776,3.077.706.922,605.928.455,"507,93%"
SAP SE,3/31/2019,18300753695,989934361.3,24181084351,42408075770,18226991420,2.334.306.245,5.431.145.154,1.326.663.507,"0,00%"
Bayer AG,3/31/2019,15790567330,951709509,15068249757,54818573513,39750323756,1.736.107.761,2.394.218.258,379.072.378,"631,60%"
Deutsche Bank AG,3/31/2019,11192425819,1563079220,10546244209,38688850201,28142605992,4.040.128.387,5.554.138.164,374.742.986,"1482,12%"
Porsche AG,3/31/2019,12923331618,1676027156,26939537534,57056948432,30117410898,2.937.463.714,5.564.977.554,894.483.846,"622,14%"
Merck KGaA,3/31/2019,19217681417,2238884002,12733925598,36970270841,24236345242,6.055.903.707,9.237.712.947,525.406.181,"1758,20%"
Volkswagen AG,3/31/2020,15933280023,1743770422,44490184859,59864740520,15374555661,2.912.850.548,1.134.192.402,289.375.419,"391,94%"
Siemens AG,3/31/2020,15947068708,835207323,19623471264,54178518349,34555047086,1.541.583.913,241.703.425,567.890.161,"425,62%"
Allianz SE,3/31/2020,9263668849,635671166.8,12187372783,46576570031,34389197248,1.364.787.416,1.848.461.778,354.395.385,"0,00%"
BMW AG,3/31/2020,12864732630,1045458883,40800355871,78928197945,38127842074,1.324.569.559,2.741.982.831,1.070.093.497,"256,24%"
BASF SE,3/31/2020,9927936838,1197785480,37635556954,86394249061,48758692107,138.641.807,2.456.557.854,7.718.738,"318,26%"
Deutsche Telekom AG,3/31/2020,17673360637,1501884164,32122639453,73938353262,41815713810,2.031.265.369,3.591.674.104,768.195.411,"467,55%"
Daimler AG,3/31/2020,17781237366,1179606125,18447303156,42728183777,24280880621,2.760.721.427,4.858.168.628,759.746.051,"639,45%"
SAP SE,3/31/2020,9236017256,529982877.3,48081211472,96574017987,48492806515,548.784.123,10.929.103,991.512.245,"0,00%"
Bayer AG,3/31/2020,14107423353,1367599932,13615077246,27849556029,14234478784,4.910.670.497,9.607.657.241,956.485.829,"1004,47%"
Deutsche Bank AG,3/31/2020,11812773682,980285159.4,44322011186,92083567435,47761556249,1.064.560.363,2.052.456.487,927.985.071,"0,00%"
Porsche AG,3/31/2020,10779438774,1358943185,33525281805,71745524050,38220242245,189.411.563,3.555.558.796,877.160.369,"405,35%"
Merck KGaA,3/31/2020,15236467952,894574066,36909348765,72030787429,35121438664,1.241.932.926,2.547.088.331,1.050.906.517,"242,37%"
Volkswagen AG,3/31/2021,19710269369,1137314233,36066540496,64427162211,28360621715,1.765.271.344,4.010.187.943,1.271.711.913,"315,34%"
Siemens AG,3/31/2021,18942636889,1771268697,15918566390,49830943520,33912377129,3.554.555.808,5.223.074.426,469.402.848,"1112,71%"
Allianz SE,3/31/2021,8226780982,522858114.5,39148815906,54906293986,15757478080,952.273.549,3.318.158.603,2.484.459.487,"0,00%"
BMW AG,3/31/2021,8417325544,742678238,36333752143,50307101979,13973349836,147.628.905,5.314.962.029,2.600.217.741,"204,40%"
BASF SE,3/31/2021,6644620233,990744714.5,21424039042,52878014917,31453975875,1.873.642.035,314.982.347,681.123.402,"0,00%"
Deutsche Telekom AG,3/31/2021,6356573780,831921707.3,22622163266,70081083207,47458919941,1.187.084.544,1.752.930.131,476.668.312,"0,00%"
Daimler AG,3/31/2021,17838709007,1559286116,42906482998,53748741344,10842258346,2.901.065.359,1.438.156.209,3.957.338.188,"363,42%"
SAP SE,3/31/2021,6588278496,731216298.1,11461577968,53638409260,42176831292,1.363.232.632,1.733.691.877,271.750.571,"0,00%"
Bayer AG,3/31/2021,15481381698,1813221637,20090535950,39516175321,19425639371,4.588.555.503,933.416.709,1.034.227.784,"902,53%"
Deutsche Bank AG,3/31/2021,8720665039,1028066418,14173153454,61397948008,47224794554,1.674.431.233,2.176.963.241,300.121.019,"725,36%"
Porsche AG,3/31/2021,7884337935,1152213820,19342832660,61176556532,41833723872,1.883.423.791,2.754.270.272,462.374.153,"595,68%"
Merck KGaA,3/31/2021,14786170161,1680074258,26820455279,61714717112,34894261833,2.722.323.518,4.814.757.986,768.620.795,"626,42%"
Volkswagen AG,3/31/2022,17383281301,2467286454,26847350661,44033610784,17186260123,5.603.189.041,1.435.615.681,1.562.140.365,"919,01%"
Siemens AG,3/31/2022,7786480387,484400549.7,33021752886,60040484961,27018732075,806.789.869,1.792.832.278,122.217.996,"0,00%"
Allianz SE,3/31/2022,16640634818,2400803163,16356578486,32583061956,16226483469,7.368.255.218,1.479.558.505,100.801.745,"1467,79%"
BMW AG,3/31/2022,11652663475,1123917078,30713910663,55316480279,24602569617,2.031.794.272,4.568.291.423,1.248.402.551,"365,93%"
BASF SE,3/31/2022,7020216669,504888024.6,19566830326,62928514411,43361684085,802.319.949,1.164.364.427,451.247.011,"0,00%"
Deutsche Telekom AG,3/31/2022,6523953565,440649540.1,18792941935,60677034815,41884092879,726.221.282,1.052.068.959,448.689.243,"0,00%"
Daimler AG,3/31/2022,13358841713,1013271417,43437924866,86840936189,43403011323,1.166.813.097,2.334.564.784,1.000.804.404,"233,27%"
SAP SE,3/31/2022,14896500404,1471513321,30918779103,51643572423,20724793320,2.849.363.924,7.100.255.712,1.491.873.942,"475,93%"
Bayer AG,3/31/2022,9090799678,904181650.9,49055627276,76658563614,27602936339,1.179.492.034,3.275.671.979,1.777.188.726,"0,00%"
Deutsche Bank AG,3/31/2022,15495522952,1232326295,38566723026,72355738353,33789015327,1.703.149.361,3.647.121.064,1.141.398.252,"319,53%"
Porsche AG,3/31/2022,10774855240,975556879.2,15417730087,40879706571,25461976485,2.386.408.712,3.831.426.362,605.519.768,"0,00%"
Merck KGaA,3/31/2022,7570645554,419794972.7,36325434183,64924945929,28599511746,646.585.017,1.467.839.648,127.014.176,"0,00%"
Volkswagen AG,3/31/2023,13460197722,1122578628,37590881745,71858135493,34267253748,1.562.215.079,3.275.951.543,1.096.991.373,"298,63%"
Siemens AG,3/31/2023,13888922534,1095226689,47947497289,70943083888,22995586599,1.543.810.374,4.762.769.081,2.085.073.894,"228,42%"
Allianz SE,3/31/2023,14581130415,1529637744,32236390204,47068791910,14832401705,3.249.791.809,1.031.281.228,2.173.376.291,"474,51%"
BMW AG,3/31/2023,19456335114,2009563555,47081333393,64537094762,17455761369,3.113.811.618,1.151.232.256,2.697.180.169,"426,83%"
BASF SE,3/31/2023,9496852852,691692392.2,36704020555,77712763784,41008743229,890.062.788,1.686.694.928,895.029.149,"0,00%"
Deutsche Telekom AG,3/31/2023,10942719196,1439735669,35021279445,51489159430,16467879985,279.619.183,8.742.689.833,2.126.641.649,"411,10%"
Daimler AG,3/31/2023,13197347212,691428622,43343894473,57721074868,14377180395,1.197.878.979,4.809.208.781,3.014.770.162,"159,52%"
SAP SE,3/31/2023,14505450248,863046066.9,22921333603,46384701674,23463368071,1.860.626.534,3.678.270.163,976.898.693,"0,00%"
Bayer AG,3/31/2023,15711957620,2201969781,29454258021,71356904907,41902646886,3.085.853.826,5.254.965.841,702.921.181,"747,59%"
Deutsche Bank AG,3/31/2023,7317098693,887813882.3,23138553563,72645962598,49507409035,1.222.110.425,1.793.294.983,467.375.571,"0,00%"
Porsche AG,3/31/2023,8880891013,668545569.7,40027402595,66992846031,26965443436,997.935.764,247.926.785,1.484.396.231,"0,00%"
Merck KGaA,3/31/2023,18085416710,2126765225,44629946816,61554558843,16924612027,3.455.089.704,1.256.610.918,2.636.984.927,"476,53%"
Volkswagen AG,3/31/2024,7309084994,1039334580,30910642675,64531416585,33620773909,161.058.696,3.091.346.389,91.939.117,"336,24%"
Siemens AG,3/31/2024,15785741204,1106822544,13225063565,51661794785,38436731220,2.142.439.202,287.959.592,344.073.576,"836,91%"
Allianz SE,3/31/2024,18801502624,1006058196,48264388990,86904149774,38639760784,1.157.664.161,2.603.686.398,1.249.086.123,"208,45%"
BMW AG,3/31/2024,15848632086,2129654605,38842203399,87315704066,48473500667,2.439.028.154,4.393.440.901,80.130.799,"548,28%"
BASF SE,3/31/2024,19756965859,1431835601,10848294146,60234434421,49386140275,2.377.104.749,2.899.266.055,219.662.725,"1319,87%"
Deutsche Telekom AG,3/31/2024,16377852382,1007117429,43228375752,78855235024,35626859272,1.277.172.567,2.826.848.759,1.213.364.766,"232,98%"
Daimler AG,3/31/2024,17637310202,1618745275,24936555962,37936073156,12999517193,4.267.034.357,124.523.492,1.918.267.855,"649,15%"
SAP SE,3/31/2024,13351789947,761306516.2,45369290420,94052696634,48683406213,809.446.771,1.563.790.571,931.925.146,"0,00%"
Bayer AG,3/31/2024,10194351917,1512864021,26311852797,62689824382,36377971585,2.413.252.926,4.158.736.606,723.290.817,"574,97%"
Deutsche Bank AG,3/31/2024,19417487313,2333015849,28301209342,55585382174,27284172832,4.197.175.153,8.550.802.927,1.037.275.695,"824,35%"
Porsche AG,3/31/2024,12668426079,744579528.3,33183980227,53340703796,20156723569,1.395.893.708,3.693.951.181,1.646.298.324,"0,00%"
Merck KGaA,3/31/2024,18818295502,2691544192,27944602045,74405164472,46460562427,3.617.415.823,5.793.180.392,601.469.302,"963,17%"
Volkswagen AG,6/30/2017,7201825633,722080990.6,27556950386,53860356064,26303405678,1.340.653.949,2.745.199.612,1.047.657.126,"0,00%"
Siemens AG,6/30/2017,9065572324,736570414.4,47957169639,95650487131,47693317491,770.064.468,1.544.389.137,1.005.532.267,"0,00%"
Allianz SE,6/30/2017,14340884258,1865680236,22448503705,35401436947,12952933241,5.270.069.233,1.440.353.472,1.733.082.637,"831,09%"
BMW AG,6/30/2017,10211703797,526461438.3,13575717212,61177654063,47601936851,860.545.319,1.105.966.423,285.192.539,"0,00%"
BASF SE,6/30/2017,16139422505,1276985447,16542748372,53339154988,36796406616,2.394.086.384,3.470.408.021,449.575.105,"771,93%"
Deutsche Telekom AG,6/30/2017,15409119271,924345905.8,44651352138,77649206644,32997854506,1.190.412.556,2.801.230.321,1.353.159.252,"0,00%"
Daimler AG,6/30/2017,10611576433,1197653535,31728621908,65800353827,34071731919,1.820.132.363,3.515.094.384,931.230.088,"377,47%"
SAP SE,6/30/2017,6644029236,744873003.7,11294935497,23437806831,12142871334,317.808.321,6.134.241.097,930.170.072,"0,00%"
